Date,Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10
12/26/2012,68.06975957,76.61848564,68.3409422,75.08187303,67.85977816,75.37757891,66.60376649,75.00365228,65.97168207,72.56962337
12/27/2012,68.07442539,76.6651006,68.38924156,75.08057815,67.9076778,75.36745268,66.60435784,75.0498399,66.02635218,72.60956657
12/28/2012,68.08054788,76.6582881,68.32534802,75.1111581,67.88777948,75.37481082,66.6148883,75.08545145,65.95522449,72.63749106
12/29/2012,68.0749569,76.68095227,68.26238468,75.13157514,67.94592453,75.38708783,66.66864524,75.07956593,65.99191387,72.61694454
12/30/2012,68.17447521,76.69564138,68.26911413,75.08747819,67.95005499,75.36897782,66.68421926,75.09836519,65.99182504,72.6366746
12/31/2012,68.22632049,76.69418674,68.30223291,75.1309097,67.96010961,75.41888349,66.72356881,75.12187617,66.05211436,72.65907374
1/1/2013,68.23058028,76.66772726,68.33841125,75.1769376,67.92397233,75.42970798,66.70716874,75.13901861,65.97421227,72.65105786
1/2/2013,68.23022044,76.71904538,68.4068863,75.18220945,67.96356907,75.41518828,66.69322526,75.19171234,66.02954296,72.68516763
1/3/2013,68.24005753,76.68802939,68.36072907,75.21208183,68.00465002,75.42935758,66.69476349,75.22977336,66.03268923,72.71837148
1/4/2013,68.30603424,76.73571043,68.31596475,75.24484777,68.01120273,75.44866362,66.6932264,75.27797005,66.00699657,72.69677491
1/5/2013,68.3119357,76.72357919,68.30562652,75.25722553,68.0463957,75.42896642,66.69774437,75.31006177,66.04487273,72.73109096
1/6/2013,68.30961475,76.70785428,68.26789361,75.23877706,68.08478821,75.44975466,66.64268055,75.3154412,66.0704761,72.77207786
1/7/2013,68.21056512,76.69765576,68.28004936,75.19308058,68.08681907,75.41599153,66.67473332,75.37604905,66.07280354,72.7956354
1/8/2013,68.20658954,76.75849001,68.36437049,75.18930532,68.11278199,75.38301675,66.65483313,75.41006902,66.12779489,72.83015158
1/9/2013,68.14556365,76.81213816,68.33024893,75.19178824,68.1022271,75.39556052,66.69794185,75.39094326,66.12194155,72.86793551
1/10/2013,68.0739873,76.80774688,68.26308021,75.19720185,68.08655963,75.43451322,66.73018704,75.43263411,66.10599987,72.86308665
1/11/2013,68.00866351,76.84777568,68.21793931,75.23064242,68.1016465,75.48082635,66.72883037,75.41267637,66.15674101,72.87956752
1/12/2013,67.92202449,76.85975201,68.25643903,75.25045773,68.1001665,75.49087576,66.74093671,75.47140819,66.1320519,72.88678332
1/13/2013,67.8427419,76.91250148,68.27890059,75.31340016,68.10584029,75.51958817,66.76897449,75.48683199,66.18286854,72.89932104
1/14/2013,67.82771503,76.97461556,68.36984604,75.30780977,68.10828379,75.48004625,66.75252248,75.51650846,66.2398762,72.94000906
