,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,fact
0,2022-03-02 22:29:05,71.73361698087578,71.72422584309689,71.74271433883087,71.73361698087578,71.73361698087578,0.0,0.0,0.0,0.0,0.0,0.0,71.73361698087578,71.73239000000001
1,2022-03-02 22:29:06,71.73624274484828,71.7273891571551,71.74497250367793,71.73624274484828,71.73624274484828,0.0,0.0,0.0,0.0,0.0,0.0,71.73624274484828,71.73654
2,2022-03-02 22:29:07,71.73886850882077,71.72857784067882,71.74805095050671,71.73886850882077,71.73886850882077,0.0,0.0,0.0,0.0,0.0,0.0,71.73886850882077,71.74046
3,2022-03-02 22:29:08,71.74149427279328,71.73237488876015,71.74942719949533,71.74149427279328,71.74149427279328,0.0,0.0,0.0,0.0,0.0,0.0,71.74149427279328,71.74285
4,2022-03-02 22:29:09,71.74412003676576,71.73365205905641,71.75301516647015,71.74412003676576,71.74412003676576,0.0,0.0,0.0,0.0,0.0,0.0,71.74412003676576,71.74553
5,2022-03-02 22:29:10,71.74674580073827,71.73582557225467,71.7565598266362,71.74674580073827,71.74674580073827,0.0,0.0,0.0,0.0,0.0,0.0,71.74674580073827,71.74876
6,2022-03-02 22:29:11,71.74937156471076,71.7397627594968,71.75871403814027,71.74937156471076,71.74937156471076,0.0,0.0,0.0,0.0,0.0,0.0,71.74937156471076,71.74905
7,2022-03-02 22:29:12,71.75199732868326,71.74202458329995,71.76077033373775,71.75199732868326,71.75199732868326,0.0,0.0,0.0,0.0,0.0,0.0,71.75199732868326,71.74909
8,2022-03-02 22:29:13,71.75462309265575,71.74619815835041,71.76543060085628,71.75462309265575,71.75462309265575,0.0,0.0,0.0,0.0,0.0,0.0,71.75462309265575,71.75081999999999
9,2022-03-02 22:29:14,71.75724885662825,71.74686307550967,71.76467789609691,71.75724885662825,71.75724885662825,0.0,0.0,0.0,0.0,0.0,0.0,71.75724885662825,71.75301999999999
10,2022-03-02 22:29:15,71.75987462060074,71.75109611051975,71.76795069598012,71.75987462060074,71.75987462060074,0.0,0.0,0.0,0.0,0.0,0.0,71.75987462060074,71.76066
11,2022-03-02 22:29:16,71.76250038457323,71.75389507393892,71.77081487190549,71.76250038457323,71.76250038457323,0.0,0.0,0.0,0.0,0.0,0.0,71.76250038457323,71.76131
12,2022-03-02 22:29:17,71.76512614854573,71.7555610776486,71.77369771527849,71.76512614854573,71.76512614854573,0.0,0.0,0.0,0.0,0.0,0.0,71.76512614854573,71.76144000000001
13,2022-03-02 22:29:18,71.76775191251822,71.75997193381004,71.77805861820347,71.76775191251822,71.76775191251822,0.0,0.0,0.0,0.0,0.0,0.0,71.76775191251822,71.76366
14,2022-03-02 22:29:19,71.77037767649072,71.7626660323037,71.78003535201165,71.77037767649072,71.77037767649072,0.0,0.0,0.0,0.0,0.0,0.0,71.77037767649072,71.7731
15,2022-03-02 22:29:20,71.77300344046321,71.7639031543974,71.78299073426176,71.77300344046321,71.77300344046321,0.0,0.0,0.0,0.0,0.0,0.0,71.77300344046321,71.78004
16,2022-03-02 22:29:21,71.77562920443572,71.76631748843593,71.7859612831841,71.77562920443572,71.77562920443572,0.0,0.0,0.0,0.0,0.0,0.0,71.77562920443572,71.78027
17,2022-03-02 22:29:22,71.7782549684082,71.76958153205102,71.78823456467937,71.7782549684082,71.7782549684082,0.0,0.0,0.0,0.0,0.0,0.0,71.7782549684082,71.78055
18,2022-03-02 22:29:23,71.78088073238071,71.76941713076846,71.7900134901489,71.78088073238071,71.78088073238071,0.0,0.0,0.0,0.0,0.0,0.0,71.78088073238071,71.7806
19,2022-03-02 22:29:24,71.78220340770467,71.77382791851144,71.79275783106326,71.78220340770467,71.78220340770467,0.0,0.0,0.0,0.0,0.0,0.0,71.78220340770467,71.78105
20,2022-03-02 22:29:25,71.78352608302863,71.77452560911514,71.79156227007363,71.78352608302863,71.78352608302863,0.0,0.0,0.0,0.0,0.0,0.0,71.78352608302863,71.78228
21,2022-03-02 22:29:26,71.78484875835258,71.77622688945837,71.79413776532401,71.78484875835258,71.78484875835258,0.0,0.0,0.0,0.0,0.0,0.0,71.78484875835258,71.78279
22,2022-03-02 22:29:27,71.78617143367654,71.77749715835112,71.79479368944457,71.78617143367654,71.78617143367654,0.0,0.0,0.0,0.0,0.0,0.0,71.78617143367654,71.7839
23,2022-03-02 22:29:28,71.78749410900052,71.7781525488506,71.7951386012461,71.78749410900052,71.78749410900052,0.0,0.0,0.0,0.0,0.0,0.0,71.78749410900052,71.78553000000001
24,2022-03-02 22:29:30,71.79013945964843,71.78264153479608,71.79799691508416,71.79013945964843,71.79013945964843,0.0,0.0,0.0,0.0,0.0,0.0,71.79013945964843,71.79337
25,2022-03-02 22:29:31,71.79146213497239,71.78349925233123,71.80102962773906,71.79146213497239,71.79146213497239,0.0,0.0,0.0,0.0,0.0,0.0,71.79146213497239,71.79406
26,2022-03-02 22:29:32,71.79278481029637,71.78401023454859,71.80165442710808,71.79278481029637,71.79278481029637,0.0,0.0,0.0,0.0,0.0,0.0,71.79278481029637,71.79542
27,2022-03-02 22:29:33,71.79410748562033,71.78581792361632,71.8022843777728,71.79410748562033,71.79410748562033,0.0,0.0,0.0,0.0,0.0,0.0,71.79410748562033,71.79646
28,2022-03-02 22:29:34,71.79543016094428,71.78695805817851,71.8046177899963,71.79543016094428,71.79543016094428,0.0,0.0,0.0,0.0,0.0,0.0,71.79543016094428,71.79647
